#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
113500	227.00000000035578	-1638214.8434885507	321328.34461718984	-1316886.498871361	299.66980769270793	1276.0449216773118	1.004336616512255	10
114000	228.00000000036056	-1641077.1166181713	322634.2055759075	-1318442.9110422637	300.88764953245766	1273.7986636472883	1.00610769639644	10
114500	229.00000000036533	-1637454.6718982086	320792.0097274958	-1316662.6621707128	299.1696234545419	1272.998267012501	1.0067402857999739	10.1
115000	230.0000000003701	-1636677.0203826465	320604.0259661048	-1316072.9944165417	298.99431038749054	1273.1556812269714	1.0066158114457362	10.1
115500	231.00000000037488	-1636562.1916023968	321506.9147647242	-1315055.2768376726	299.836341652963	1273.5414675302184	1.0063108833357464	10.1
116000	232.00000000037966	-1638860.7161831	320542.29971548903	-1318318.4164676107	298.9367446795115	1273.36775493781	1.0064481640793768	10.2
116500	233.00000000038443	-1638482.0454443237	323586.89005787217	-1314895.1553864516	301.77612009624283	1272.0017797670532	1.0075289669718368	10.2
117000	234.0000000003892	-1638789.3571435316	322700.2372421324	-1316089.1199013991	300.94923045754797	1270.2754445158616	1.0088982233640542	10.2
117500	235.00000000039398	-1637086.442599929	323435.4162812099	-1313651.0263187191	301.63485612658917	1269.666962487319	1.0093817331785828	10.2
118000	236.00000000039876	-1638220.7920112927	321673.66194564535	-1316547.1300656474	299.99184955158756	1271.585595842965	1.007858726415855	10.2
118500	237.00000000040353	-1640263.1318294248	321778.74734465533	-1318484.3844847693	300.0898518655451	1270.9282532760235	1.008380005599498	10.3
119000	238.0000000004083	-1640661.1540323887	322271.5476284483	-1318389.6064039404	300.5494358666113	1270.5412292596304	1.008687171766821	10.3
119500	239.00000000041308	-1639934.2261992749	322760.86642304	-1317173.359776235	301.00577304175346	1270.5294988617632	1.0086964846571231	10.3
120000	240.00000000041786	-1637315.5592030352	321542.9915871134	-1315772.5676159218	299.86998678451965	1270.0216308691893	1.0090998515339757	10.3
120500	241.00000000042263	-1638569.8912180364	321774.01838965545	-1316795.872828381	300.08544165692473	1270.7054464709795	1.0085568159908769	10.3
121000	242.0000000004274	-1639754.38200776	322907.0952992602	-1316847.2867084998	301.1421456336835	1270.939060981237	1.0083714306220044	10.4
121500	243.00000000043218	-1639206.3132441752	322499.09379009274	-1316707.2194540824	300.76164470421776	1271.0405917676587	1.008290881861391	10.4
122000	244.00000000043696	-1638168.725114569	323094.6595858534	-1315074.0655287157	301.31706749985244	1272.0424960477146	1.0074967173950173	10.4
